id,nama_barang,harga,jumlah_terjual,bulan,rata_rata,klasifikasi,MinMaxharga,MinMaxJumlahTerjual,MinMaxBulan
10,Beras/kg,14000,5000,9,5754.166666666667,Tidak Laris,0.0010584810796507012,0.43978826643140717,0.7
7,Beras/kg,14000,6100,6,5754.166666666667,Laris,0.0010584810796507012,0.5368328187031319,0.4
4,Beras/kg,14000,5700,3,5754.166666666667,Tidak Laris,0.0010584810796507012,0.5015438906043229,0.1
3,Beras/kg,14000,4900,2,5754.166666666667,Tidak Laris,0.0010584810796507012,0.4309660344067049,0.0
13,Beras/kg,14000,5850,12,5754.166666666667,Laris,0.0010584810796507012,0.5147772386413763,1.0
6,Beras/kg,14000,4700,5,5754.166666666667,Tidak Laris,0.0010584810796507012,0.4133215703573004,0.3
9,Beras/kg,14000,5200,8,5754.166666666667,Tidak Laris,0.0010584810796507012,0.4574327304808116,0.6
5,Beras/kg,14000,11350,4,5754.166666666667,Laris,0.0010584810796507012,1.0,0.2
8,Beras/kg,14000,5000,7,5754.166666666667,Tidak Laris,0.0010584810796507012,0.43978826643140717,0.5
22,Minyak/liter,16000,3800,9,3675.0,Laris,0.0015877216194760519,0.33392148213498013,0.7
19,Minyak/liter,16000,4150,6,3675.0,Laris,0.0015877216194760519,0.36479929422143803,0.4
16,Minyak/liter,16000,3300,3,3675.0,Tidak Laris,0.0015877216194760519,0.2898103220114689,0.1
15,Minyak/liter,16000,3300,2,3675.0,Tidak Laris,0.0015877216194760519,0.2898103220114689,0.0
25,Minyak/liter,16000,4000,12,3675.0,Laris,0.0015877216194760519,0.35156594618438464,1.0
18,Minyak/liter,16000,2950,5,3675.0,Tidak Laris,0.0015877216194760519,0.25893250992501105,0.3
21,Minyak/liter,16000,3900,8,3675.0,Laris,0.0015877216194760519,0.3427437141596824,0.6
17,Minyak/liter,16000,6300,4,3675.0,Laris,0.0015877216194760519,0.5544772827525364,0.2
20,Minyak/liter,16000,2450,7,3675.0,Tidak Laris,0.0015877216194760519,0.21482134980149978,0.5
34,Gula/kg,15000,3200,9,3941.6666666666665,Tidak Laris,0.0013231013495633766,0.28098808998676666,0.7
31,Gula/kg,15000,5100,6,3941.6666666666665,Laris,0.0013231013495633766,0.4486104984561094,0.4
28,Gula/kg,15000,4100,3,3941.6666666666665,Laris,0.0013231013495633766,0.3603881782090869,0.1
27,Gula/kg,15000,3100,2,3941.6666666666665,Tidak Laris,0.0013231013495633766,0.2721658579620644,0.0
37,Gula/kg,15000,4000,12,3941.6666666666665,Laris,0.0013231013495633766,0.35156594618438464,1.0
30,Gula/kg,15000,4050,5,3941.6666666666665,Laris,0.0013231013495633766,0.35597706219673575,0.3
33,Gula/kg,15000,3000,8,3941.6666666666665,Tidak Laris,0.0013231013495633766,0.26334362593736216,0.6
29,Gula/kg,15000,7100,4,3941.6666666666665,Laris,0.0013231013495633766,0.6250551389501544,0.2
32,Gula/kg,15000,3950,7,3941.6666666666665,Laris,0.0013231013495633766,0.3471548301720335,0.5
46,Telur/papan,54000,490,9,617.9166666666666,Tidak Laris,0.011643291876157714,0.04190560211733568,0.7
43,Telur/papan,54000,720,6,617.9166666666666,Laris,0.011643291876157714,0.06219673577415086,0.4
40,Telur/papan,54000,730,3,617.9166666666666,Laris,0.011643291876157714,0.06307895897662108,0.1
39,Telur/papan,54000,530,2,617.9166666666666,Tidak Laris,0.011643291876157714,0.04543449492721659,0.0
49,Telur/papan,54000,580,12,617.9166666666666,Tidak Laris,0.011643291876157714,0.049845610939567714,1.0
42,Telur/papan,54000,490,5,617.9166666666666,Tidak Laris,0.011643291876157714,0.04190560211733568,0.3
45,Telur/papan,54000,500,8,617.9166666666666,Tidak Laris,0.011643291876157714,0.04278782531980591,0.6
41,Telur/papan,54000,1300,4,617.9166666666666,Laris,0.011643291876157714,0.1133656815174239,0.2
44,Telur/papan,54000,495,7,617.9166666666666,Tidak Laris,0.011643291876157714,0.0423467137185708,0.5
58,Susu/kaleng,10000,920,9,1004.1666666666666,Tidak Laris,0.0,0.07984119982355536,0.7
55,Susu/kaleng,10000,940,6,1004.1666666666666,Tidak Laris,0.0,0.08160564622849581,0.4
52,Susu/kaleng,10000,1300,3,1004.1666666666666,Laris,0.0,0.1133656815174239,0.1
51,Susu/kaleng,10000,900,2,1004.1666666666666,Tidak Laris,0.0,0.0780767534186149,0.0
61,Susu/kaleng,10000,1000,12,1004.1666666666666,Tidak Laris,0.0,0.08689898544331716,1.0
54,Susu/kaleng,10000,870,5,1004.1666666666666,Tidak Laris,0.0,0.07543008381120424,0.3
57,Susu/kaleng,10000,910,8,1004.1666666666666,Tidak Laris,0.0,0.07895897662108513,0.6
53,Susu/kaleng,10000,1520,4,1004.1666666666666,Laris,0.0,0.13277459197176886,0.2
56,Susu/kaleng,10000,850,7,1004.1666666666666,Tidak Laris,0.0,0.07366563740626378,0.5
70,Tv,3700000,41,9,43.5,Tidak Laris,0.9764487959777719,0.0022937803264225847,0.7
67,Tv,3700000,30,6,43.5,Tidak Laris,0.9764487959777719,0.0013233348037053375,0.4
64,Tv,3700000,45,3,43.5,Laris,0.9764487959777719,0.002646669607410675,0.1
63,Tv,3700000,55,2,43.5,Laris,0.9764487959777719,0.0035288928098809,0.0
73,Tv,3700000,72,12,43.5,Laris,0.9764487959777719,0.0050286722540802825,1.0
66,Tv,3700000,30,5,43.5,Tidak Laris,0.9764487959777719,0.0013233348037053375,0.3
69,Tv,3700000,40,8,43.5,Tidak Laris,0.9764487959777719,0.0022055580061755625,0.6
65,Tv,3700000,40,4,43.5,Tidak Laris,0.9764487959777719,0.0022055580061755625,0.2
68,Tv,3700000,35,7,43.5,Tidak Laris,0.9764487959777719,0.00176444640494045,0.5
82,Mesin Cuci,2548000,45,9,35.416666666666664,Laris,0.67160624503837,0.002646669607410675,0.7
79,Mesin Cuci,2548000,20,6,35.416666666666664,Tidak Laris,0.67160624503837,0.0004411116012351125,0.4
76,Mesin Cuci,2548000,30,3,35.416666666666664,Tidak Laris,0.67160624503837,0.0013233348037053375,0.1
75,Mesin Cuci,2548000,30,2,35.416666666666664,Tidak Laris,0.67160624503837,0.0013233348037053375,0.0
85,Mesin Cuci,2548000,58,12,35.416666666666664,Laris,0.67160624503837,0.0037935597706219674,1.0
78,Mesin Cuci,2548000,18,5,35.416666666666664,Tidak Laris,0.67160624503837,0.0002646669607410675,0.3
81,Mesin Cuci,2548000,47,8,35.416666666666664,Laris,0.67160624503837,0.00282311424790472,0.6
77,Mesin Cuci,2548000,25,4,35.416666666666664,Tidak Laris,0.67160624503837,0.000882223202470225,0.2
80,Mesin Cuci,2548000,22,7,35.416666666666664,Tidak Laris,0.67160624503837,0.0006175562417291574,0.5
94,Kipas angin,400000,36,9,56.666666666666664,Tidak Laris,0.10320190526594337,0.0018526687251874724,0.7
91,Kipas angin,400000,38,6,56.666666666666664,Tidak Laris,0.10320190526594337,0.0020291133656815175,0.4
88,Kipas angin,400000,60,3,56.666666666666664,Laris,0.10320190526594337,0.003970004411116012,0.1
87,Kipas angin,400000,78,2,56.666666666666664,Laris,0.10320190526594337,0.005558006175562417,0.0
97,Kipas angin,400000,65,12,56.666666666666664,Laris,0.10320190526594337,0.004411116012351125,1.0
90,Kipas angin,400000,40,5,56.666666666666664,Tidak Laris,0.10320190526594337,0.0022055580061755625,0.3
93,Kipas angin,400000,50,8,56.666666666666664,Tidak Laris,0.10320190526594337,0.0030877812086457872,0.6
89,Kipas angin,400000,58,4,56.666666666666664,Laris,0.10320190526594337,0.0037935597706219674,0.2
92,Kipas angin,400000,35,7,56.666666666666664,Tidak Laris,0.10320190526594337,0.00176444640494045,0.5
106,Kulkas,2678000,30,9,33.5,Tidak Laris,0.7060068801270177,0.0013233348037053375,0.7
103,Kulkas,2678000,26,6,33.5,Tidak Laris,0.7060068801270177,0.0009704455227172474,0.4
100,Kulkas,2678000,30,3,33.5,Tidak Laris,0.7060068801270177,0.0013233348037053375,0.1
99,Kulkas,278000,40,2,33.5,Laris,0.07091823233659698,0.0022055580061755625,0.0
109,Kulkas,2678000,40,12,33.5,Laris,0.7060068801270177,0.0022055580061755625,1.0
102,Kulkas,2678000,25,5,33.5,Tidak Laris,0.7060068801270177,0.000882223202470225,0.3
105,Kulkas,2678000,32,8,33.5,Tidak Laris,0.7060068801270177,0.0014997794441993825,0.6
101,Kulkas,2678000,25,4,33.5,Tidak Laris,0.7060068801270177,0.000882223202470225,0.2
104,Kulkas,2678000,23,7,33.5,Tidak Laris,0.7060068801270177,0.00070577856197618,0.5
118,Ac,3789000,58,9,53.75,Laris,1.0,0.0037935597706219674,0.7
115,Ac,3789000,35,6,53.75,Tidak Laris,1.0,0.00176444640494045,0.4
112,Ac,3789000,60,3,53.75,Laris,1.0,0.003970004411116012,0.1
111,Ac,3789000,70,2,53.75,Laris,1.0,0.004852227613586237,0.0
121,Ac,3789000,58,12,53.75,Laris,1.0,0.0037935597706219674,1.0
114,Ac,3789000,40,5,53.75,Tidak Laris,1.0,0.0022055580061755625,0.3
117,Ac,3789000,40,8,53.75,Tidak Laris,1.0,0.0022055580061755625,0.6
113,Ac,3789000,47,4,53.75,Tidak Laris,1.0,0.00282311424790472,0.2
116,Ac,3789000,32,7,53.75,Tidak Laris,1.0,0.0014997794441993825,0.5
130,Baju,175000,49,9,63.666666666666664,Tidak Laris,0.043662344535591424,0.002999558888398765,0.7
127,Baju,175000,43,6,63.666666666666664,Tidak Laris,0.043662344535591424,0.0024702249669166297,0.4
124,Baju,175000,73,3,63.666666666666664,Laris,0.043662344535591424,0.005116894574327305,0.1
123,Baju,175000,36,2,63.666666666666664,Tidak Laris,0.043662344535591424,0.0018526687251874724,0.0
133,Baju,175000,60,12,63.666666666666664,Tidak Laris,0.043662344535591424,0.003970004411116012,1.0
126,Baju,175000,80,5,63.666666666666664,Laris,0.043662344535591424,0.005734450816056462,0.3
129,Baju,175000,53,8,63.666666666666664,Tidak Laris,0.043662344535591424,0.003352448169386855,0.6
125,Baju,175000,147,4,63.666666666666664,Laris,0.043662344535591424,0.011645346272606969,0.2
