id,nama_barang,harga,jumlah_terjual,bulan
2,Beras/kg,14000,5100,1
3,Beras/kg,14000,4900,2
4,Beras/kg,14000,5700,3
5,Beras/kg,14000,11350,4
6,Beras/kg,14000,4700,5
7,Beras/kg,14000,6100,6
8,Beras/kg,14000,5000,7
9,Beras/kg,14000,5200,8
10,Beras/kg,14000,5000,9
11,Beras/kg,14000,4950,10
12,Beras/kg,14000,5200,11
13,Beras/kg,14000,5850,12
14,Minyak/liter,16000,3200,1
15,Minyak/liter,16000,3300,2
16,Minyak/liter,16000,3300,3
17,Minyak/liter,16000,6300,4
18,Minyak/liter,16000,2950,5
19,Minyak/liter,16000,4150,6
20,Minyak/liter,16000,2450,7
21,Minyak/liter,16000,3900,8
22,Minyak/liter,16000,3800,9
23,Minyak/liter,16000,3400,10
24,Minyak/liter,16000,3350,11
25,Minyak/liter,16000,4000,12
26,Gula/kg,15000,3050,1
27,Gula/kg,15000,3100,2
28,Gula/kg,15000,4100,3
29,Gula/kg,15000,7100,4
30,Gula/kg,15000,4050,5
31,Gula/kg,15000,5100,6
32,Gula/kg,15000,3950,7
33,Gula/kg,15000,3000,8
34,Gula/kg,15000,3200,9
35,Gula/kg,15000,3300,10
36,Gula/kg,15000,3350,11
37,Gula/kg,15000,4000,12
38,Telur/papan,54000,550,1
39,Telur/papan,54000,530,2
40,Telur/papan,54000,730,3
41,Telur/papan,54000,1300,4
42,Telur/papan,54000,490,5
43,Telur/papan,54000,720,6
44,Telur/papan,54000,495,7
45,Telur/papan,54000,500,8
46,Telur/papan,54000,490,9
47,Telur/papan,54000,520,10
48,Telur/papan,54000,510,11
49,Telur/papan,54000,580,12
50,Susu/kaleng,10000,960,1
51,Susu/kaleng,10000,900,2
52,Susu/kaleng,10000,1300,3
53,Susu/kaleng,10000,1520,4
54,Susu/kaleng,10000,870,5
55,Susu/kaleng,10000,940,6
56,Susu/kaleng,10000,850,7
57,Susu/kaleng,10000,910,8
58,Susu/kaleng,10000,920,9
59,Susu/kaleng,10000,930,10
60,Susu/kaleng,10000,950,11
61,Susu/kaleng,10000,1000,12
62,Tv,3700000,50,1
63,Tv,3700000,55,2
64,Tv,3700000,45,3
65,Tv,3700000,40,4
66,Tv,3700000,30,5
67,Tv,3700000,30,6
68,Tv,3700000,35,7
69,Tv,3700000,40,8
70,Tv,3700000,41,9
71,Tv,3700000,42,10
72,Tv,3700000,42,11
73,Tv,3700000,72,12
74,Mesin Cuci,2548000,45,1
75,Mesin Cuci,2548000,30,2
76,Mesin Cuci,2548000,30,3
77,Mesin Cuci,2548000,25,4
78,Mesin Cuci,2548000,18,5
79,Mesin Cuci,2548000,20,6
80,Mesin Cuci,2548000,22,7
81,Mesin Cuci,2548000,47,8
82,Mesin Cuci,2548000,45,9
83,Mesin Cuci,2548000,45,10
84,Mesin Cuci,2548000,40,11
85,Mesin Cuci,2548000,58,12
86,Kipas angin,400000,100,1
87,Kipas angin,400000,78,2
88,Kipas angin,400000,60,3
89,Kipas angin,400000,58,4
90,Kipas angin,400000,40,5
91,Kipas angin,400000,38,6
92,Kipas angin,400000,35,7
93,Kipas angin,400000,50,8
94,Kipas angin,400000,36,9
95,Kipas angin,400000,50,10
96,Kipas angin,400000,70,11
97,Kipas angin,400000,65,12
98,Kulkas,278000,55,1
99,Kulkas,278000,40,2
100,Kulkas,2678000,30,3
101,Kulkas,2678000,25,4
102,Kulkas,2678000,25,5
103,Kulkas,2678000,26,6
104,Kulkas,2678000,23,7
105,Kulkas,2678000,32,8
106,Kulkas,2678000,30,9
107,Kulkas,2678000,38,10
108,Kulkas,2678000,38,11
109,Kulkas,2678000,40,12
110,Ac,3789000,87,1
111,Ac,3789000,70,2
112,Ac,3789000,60,3
113,Ac,3789000,47,4
114,Ac,3789000,40,5
115,Ac,3789000,35,6
116,Ac,3789000,32,7
117,Ac,3789000,40,8
118,Ac,3789000,58,9
119,Ac,3789000,55,10
120,Ac,3789000,63,11
121,Ac,3789000,58,12
122,Baju,175000,54,1
123,Baju,175000,36,2
124,Baju,175000,73,3
125,Baju,175000,147,4
126,Baju,175000,80,5
127,Baju,175000,43,6
128,Baju,175000,107,7
129,Baju,175000,53,8
130,Baju,175000,49,9
131,Baju,175000,20,10
132,Baju,175000,42,11
133,Baju,175000,60,12
134,Celana,195000,45,1
135,Celana,195000,40,2
136,Celana,195000,62,3
137,Celana,195000,126,4
138,Celana,195000,75,5
